N,P,K,temperature,humidity,ph,rainfall,label,yield
21.76,137.62,195.38,23.46,94.1,5.43,108.14,apple,66.4
16.55,67.03,18.36,24.56,60.97,6.87,44.56,lentil,26.49
76.99,46.76,43.11,24.54,80.04,7.04,147.8,jute,48.15
20.33,49.44,20.61,27.19,45.03,7.38,56.32,mothbeans,21.88
12.3,69.4,15.7,20.58,61.82,6.73,51.36,lentil,21.56
23.27,12.53,26.85,26.02,92.57,6.11,168.87,coconut,88.42
39.58,69.55,19.11,29.94,66.17,6.98,64.53,blackgram,27.18
68.96,49.68,45.81,22.65,89.09,7.43,184.38,jute,44.13
14.27,45.16,22.15,24.84,86.54,6.39,54.5,mungbean,24.1
115.37,53.58,16.69,24.21,66.45,7.15,76.4,cotton,39.45
99.3,57.35,55.35,23.35,81.68,6.78,49.2,watermelon,113.94
18.9,134.89,205.0,22.1,89.49,5.29,88.39,apple,75.85
21.47,133.9,203.95,23.45,83.42,5.71,67.01,grapes,108.59
24.41,12.49,34.54,26.98,92.77,5.57,166.27,coconut,79.66
16.41,130.03,205.0,24.87,78.29,6.46,71.92,grapes,116.93
100.11,47.54,52.29,25.05,78.71,7.18,57.11,watermelon,130.73
71.82,43.72,35.9,23.6,82.64,6.27,225.13,rice,52.72
18.18,27.53,29.28,35.03,53.27,5.68,85.04,mango,77.7
22.65,23.64,30.14,32.21,42.53,5.22,105.43,mango,66.4
104.65,26.86,27.53,29.19,61.97,6.26,132.8,coffee,22.22
18.74,25.11,41.85,21.18,93.86,6.34,114.7,pomegranate,30.14
95.7,87.56,50.57,31.39,75.59,6.28,114.36,banana,189.08
25.98,133.63,189.06,22.21,81.7,7.07,72.14,grapes,101.16
75.25,42.29,43.42,22.26,72.34,7.01,174.42,jute,44.8
20.46,13.44,11.06,18.59,94.3,6.1,111.69,orange,58.61
109.6,50.83,20.76,18.03,79.58,6.76,55.89,cotton,39.17
19.91,22.39,32.94,31.9,40.79,5.95,89.88,mango,74.43
44.9,51.36,50.85,37.04,91.6,6.35,160.49,papaya,149.81
110.38,17.34,43.07,28.37,93.53,6.75,25.36,muskmelon,119.65
23.87,46.45,16.46,26.71,56.48,6.64,27.69,mothbeans,23.12
78.95,40.39,47.04,23.7,65.33,6.66,176.44,jute,47.43
36.19,65.79,69.5,18.9,16.85,7.96,77.72,chickpea,33.25
25.8,45.06,20.83,31.4,53.51,6.88,59.77,mothbeans,25.19
17.75,19.72,47.67,19.88,87.19,6.41,100.02,pomegranate,29.95
89.3,54.56,49.1,23.52,83.07,6.34,55.32,watermelon,131.72
23.8,41.92,20.08,26.69,43.32,7.05,56.1,mothbeans,23.74
124.36,41.88,18.87,24.43,71.98,6.87,73.2,cotton,39.5
52.5,51.63,45.98,32.74,91.75,7.43,121.43,papaya,123.74
109.59,60.89,45.72,24.16,86.16,5.89,59.89,watermelon,117.39
24.42,46.33,24.53,28.29,57.41,6.72,39.45,mothbeans,20.95
70.45,41.39,33.55,26.14,84.91,6.63,262.91,rice,55.92
21.42,20.48,29.13,22.68,93.03,6.01,185.17,coconut,60.64
26.04,44.61,23.48,26.67,48.77,6.9,62.77,mothbeans,21.1
17.7,49.58,21.53,29.03,54.98,6.65,50.34,mothbeans,22.58
84.03,45.14,22.75,22.45,66.34,6.6,97.29,maize,68.03
68.42,48.19,41.62,22.68,78.82,6.16,249.92,rice,48.85
74.35,44.74,16.15,21.87,63.42,5.19,85.18,maize,60.54
18.16,15.26,32.41,27.88,93.61,5.82,186.71,coconut,77.5
18.62,12.33,14.33,24.61,90.73,7.38,111.97,orange,67.85
17.56,21.11,48.45,21.73,93.57,7.09,101.49,pomegranate,29.0
22.43,60.24,22.69,19.3,24.66,5.52,117.99,kidneybeans,32.49
94.0,47.59,49.45,23.21,84.95,6.63,45.1,watermelon,120.07
17.38,45.5,26.13,26.82,82.46,6.61,33.19,mungbean,25.51
38.01,76.71,16.5,29.08,57.26,7.57,74.99,blackgram,24.37
84.85,49.63,43.1,21.76,78.41,6.23,233.11,rice,55.86
88.23,43.74,34.26,23.75,75.09,7.07,194.53,rice,51.0
138.61,30.53,18.56,23.78,79.15,6.41,90.65,cotton,42.97
107.83,42.15,16.85,16.38,79.25,6.72,102.86,cotton,40.25
13.54,68.06,18.92,30.84,49.89,5.38,121.34,pigeonpeas,30.87
22.16,14.14,9.25,19.47,97.57,6.79,100.69,orange,55.95
39.48,73.95,20.84,27.57,63.18,6.79,94.38,blackgram,24.73
20.87,75.35,18.29,25.78,58.78,7.28,35.78,lentil,26.98
98.53,77.6,49.95,26.97,85.6,5.36,95.75,banana,219.04
18.05,26.33,24.95,30.08,48.46,5.86,107.53,mango,69.13
85.74,48.98,23.45,19.22,67.69,6.06,82.49,maize,57.3
23.47,131.55,204.46,20.17,94.59,5.68,112.47,apple,64.36
17.32,12.27,45.1,23.97,88.84,6.68,96.18,pomegranate,29.38
21.2,25.73,29.53,29.02,44.4,6.2,102.48,mango,79.32
124.68,33.84,19.38,22.83,80.15,7.03,62.29,cotton,41.06
12.13,47.96,22.19,32.55,80.17,6.95,45.47,mungbean,24.58
16.38,76.86,21.53,29.52,53.36,5.8,143.1,pigeonpeas,25.46
40.67,66.31,87.35,13.73,14.1,7.15,81.87,chickpea,28.59
19.88,142.9,204.82,21.81,94.05,5.51,108.84,apple,62.19
101.94,23.86,28.46,25.4,58.43,6.99,145.32,coffee,22.59
20.04,70.53,20.44,27.66,46.52,5.51,139.79,pigeonpeas,27.63
85.58,45.12,44.72,24.36,86.77,6.25,215.17,jute,45.14
81.35,38.71,38.34,27.27,92.13,6.13,159.46,jute,48.45
75.69,44.07,50.01,23.36,88.1,6.32,171.16,jute,48.52
55.42,56.61,58.91,31.27,92.37,6.17,149.33,papaya,124.31
18.37,75.01,19.9,24.32,69.49,6.94,50.81,lentil,26.76
19.92,120.6,196.8,24.69,84.95,6.16,88.69,grapes,106.4
87.79,50.16,49.26,23.15,88.18,5.73,220.19,rice,54.74
16.49,13.08,10.86,23.8,91.49,6.77,100.05,orange,68.75
21.44,48.74,19.44,28.65,87.12,6.71,37.74,mungbean,26.94
20.41,26.58,30.11,30.8,57.47,6.37,94.51,mango,66.9
25.16,68.95,19.09,18.7,14.0,6.21,106.68,kidneybeans,32.21
23.85,138.7,188.91,20.97,82.44,6.5,70.37,grapes,102.24
15.21,50.71,16.18,28.4,89.14,7.13,49.05,mungbean,25.89
20.87,14.13,13.36,20.37,95.38,7.43,126.81,orange,61.09
16.77,60.07,25.81,29.29,47.42,5.67,164.02,pigeonpeas,27.47
97.7,76.22,53.11,25.19,79.41,5.9,99.49,banana,195.54
75.89,48.93,35.05,22.21,82.61,7.31,245.79,rice,53.97
20.14,58.56,25.69,25.49,45.36,5.8,137.16,pigeonpeas,28.76
18.37,18.13,35.76,23.89,92.47,6.53,83.77,pomegranate,29.05
107.39,29.42,22.41,25.08,61.79,6.52,167.88,coffee,22.01
100.32,14.83,56.38,28.37,91.24,7.18,26.72,muskmelon,100.03
29.79,64.87,21.05,27.21,60.69,6.69,51.59,blackgram,25.38
46.04,55.48,60.26,37.3,86.52,7.56,121.91,papaya,108.61
57.39,58.54,49.26,35.42,94.54,5.74,153.91,papaya,126.86
23.06,20.17,34.31,22.23,86.59,6.6,115.94,pomegranate,32.47
20.91,80.1,16.97,19.02,20.88,6.06,96.2,kidneybeans,29.98
39.04,67.22,72.37,19.19,19.86,7.69,76.48,chickpea,29.35
17.96,48.56,21.0,27.75,81.12,6.94,45.14,mungbean,23.5
16.81,44.37,19.65,24.31,91.61,6.14,52.45,mungbean,25.21
24.03,28.18,34.82,28.16,49.06,5.64,98.36,mango,80.45
22.0,63.45,20.53,28.92,54.96,5.89,143.42,pigeonpeas,26.83
101.72,16.18,48.06,28.45,95.44,6.57,30.16,muskmelon,109.19
20.4,25.93,29.66,32.15,44.52,6.1,95.63,mango,74.61
22.79,52.39,16.83,26.2,48.97,6.79,55.08,mothbeans,22.96
19.88,71.17,23.3,24.9,45.84,4.87,156.21,pigeonpeas,25.92
106.27,16.24,49.19,28.04,98.32,6.59,20.69,muskmelon,99.32
79.67,55.76,44.36,21.18,86.11,5.68,225.78,rice,52.42
22.47,22.31,42.8,19.45,87.45,6.48,127.68,pomegranate,29.77
107.41,18.24,50.9,25.68,97.29,7.0,35.16,muskmelon,94.07
23.56,69.29,20.06,26.77,49.8,5.91,138.14,pigeonpeas,28.61
21.29,145.0,203.1,19.23,96.05,5.9,136.15,apple,58.76
22.98,42.21,17.02,28.44,81.79,6.47,64.68,mungbean,27.36
79.55,45.94,40.28,26.28,91.24,5.81,254.71,rice,53.9
17.71,62.02,22.54,19.93,17.65,5.84,126.06,kidneybeans,30.93
21.32,127.03,202.68,17.35,90.78,5.88,118.92,apple,68.27
78.92,42.75,40.18,23.11,81.19,6.37,232.84,rice,54.68
20.25,26.33,22.44,33.12,56.07,6.23,101.7,mango,75.92
57.92,60.5,45.36,32.49,91.67,6.18,136.28,papaya,128.99
21.84,49.92,19.14,26.35,62.25,7.59,48.73,mothbeans,22.6
113.23,45.02,21.3,26.37,78.98,7.12,100.96,cotton,40.29
11.18,17.65,39.96,17.83,87.98,7.08,117.24,pomegranate,30.34
20.57,60.29,22.67,30.19,50.33,5.75,143.04,pigeonpeas,28.06
42.89,63.1,46.05,30.11,93.35,7.34,133.58,papaya,140.28
15.28,62.11,16.89,23.09,82.65,7.28,57.74,lentil,26.42
86.98,51.55,14.78,18.71,60.4,5.51,74.79,maize,71.09
36.8,72.55,69.92,18.74,14.77,7.75,60.07,chickpea,29.54
106.21,11.96,57.12,28.66,89.6,6.13,20.0,muskmelon,95.22
125.54,44.24,18.5,25.31,76.08,7.29,104.87,cotton,42.67
24.02,62.87,19.45,22.09,14.0,6.0,88.97,kidneybeans,32.39
38.99,62.13,84.37,18.29,19.75,7.54,72.99,chickpea,30.94
17.59,47.63,19.29,25.19,87.0,6.78,56.01,mungbean,24.98
93.21,26.1,32.89,23.33,51.95,6.63,149.64,coffee,23.17
93.28,29.17,33.33,21.3,59.23,8.03,174.29,coffee,20.65
17.12,11.12,9.7,22.72,94.24,6.25,100.38,orange,66.35
87.87,62.49,46.03,28.02,82.24,6.77,50.09,watermelon,117.47
21.93,8.27,14.69,21.95,91.51,7.01,107.68,orange,62.52
29.12,135.1,193.47,24.1,80.67,5.44,60.81,grapes,111.63
92.68,27.6,26.87,23.31,61.71,6.95,143.4,coffee,23.39
22.63,72.13,19.81,24.55,55.15,5.33,135.65,pigeonpeas,25.3
22.06,27.85,30.45,30.35,52.66,5.77,90.14,mango,69.96
16.62,132.92,186.42,18.61,89.85,5.47,111.54,apple,66.03
19.19,32.29,24.9,34.23,56.03,5.69,115.81,mango,80.97
20.59,19.32,41.0,21.79,89.06,6.48,114.01,pomegranate,30.83
101.83,31.2,31.41,19.87,63.57,7.55,174.32,coffee,21.65
16.47,69.25,18.79,25.25,49.56,5.27,155.3,pigeonpeas,26.6
101.12,28.34,30.55,24.94,58.06,6.4,155.62,coffee,22.77
24.91,137.42,192.98,24.94,84.41,6.65,73.03,grapes,100.55
130.6,46.48,19.8,20.82,80.63,6.42,93.34,cotton,40.89
22.08,16.33,35.39,22.75,92.65,6.74,99.29,pomegranate,31.3
38.78,62.5,57.32,34.39,91.86,7.66,135.06,papaya,117.33
20.99,140.52,193.37,20.91,88.42,5.97,107.52,apple,61.62
34.02,69.96,24.02,27.86,63.33,6.8,61.84,blackgram,26.86
17.8,74.95,17.59,29.93,50.06,5.87,142.06,pigeonpeas,28.33
104.9,45.91,53.9,26.62,85.97,6.71,47.56,watermelon,122.71
47.23,56.94,38.43,34.76,90.7,7.3,148.1,papaya,129.93
44.04,69.85,12.33,28.75,65.37,7.04,81.9,blackgram,28.47
27.49,128.03,205.0,24.72,79.75,5.17,67.15,grapes,115.09
18.55,75.12,19.61,23.42,58.48,6.54,56.11,lentil,27.2
74.68,50.13,38.66,23.35,84.01,6.08,230.55,rice,51.2
106.25,29.93,30.46,26.1,52.36,6.0,160.5,coffee,22.45
59.27,67.41,45.05,30.14,96.52,7.48,151.62,papaya,136.0
40.51,68.07,78.47,18.7,20.16,7.38,64.7,chickpea,29.76
100.65,25.79,34.03,25.81,50.96,6.64,149.6,coffee,22.86
86.35,44.15,43.13,24.02,77.96,6.07,169.38,jute,51.68
18.02,46.27,19.82,26.81,50.1,7.22,56.75,mothbeans,21.17
16.23,15.22,43.13,24.57,90.65,6.21,100.05,pomegranate,29.88
44.55,55.57,50.56,32.9,91.33,5.84,118.01,papaya,135.81
23.02,60.17,21.72,28.36,47.3,5.62,167.56,pigeonpeas,28.95
20.72,126.4,192.91,22.13,90.49,5.3,132.38,apple,62.47
24.33,67.29,19.6,18.15,21.86,5.62,110.04,kidneybeans,30.57
21.48,16.79,8.01,20.83,91.42,6.92,118.68,orange,61.5
18.57,47.56,15.31,28.95,50.23,7.2,45.57,mothbeans,22.69
75.39,40.8,37.08,22.98,78.45,6.66,202.15,rice,53.2
22.27,44.93,24.79,27.04,85.54,6.59,44.79,mungbean,25.35
102.52,54.83,48.34,23.96,82.76,6.03,37.66,watermelon,128.46
19.99,16.58,33.77,16.9,91.58,6.57,93.2,pomegranate,26.44
23.96,19.95,27.23,25.37,93.71,5.7,137.65,coconut,86.08
22.41,10.95,30.64,28.11,93.5,5.88,167.44,coconut,79.73
70.41,40.44,43.19,25.28,85.44,7.1,178.55,jute,46.85
13.59,22.26,38.98,24.36,85.76,7.06,103.08,pomegranate,29.91
18.49,79.13,16.73,14.94,21.87,5.83,113.58,kidneybeans,31.89
25.39,50.11,17.49,28.45,47.21,6.5,48.48,mothbeans,21.24
81.31,44.65,42.41,25.52,71.39,7.37,191.08,jute,46.88
19.8,76.35,21.53,19.07,16.58,5.89,101.54,kidneybeans,26.68
84.81,50.43,38.03,23.74,86.44,6.21,259.19,rice,55.04
19.52,65.42,17.81,29.87,62.11,6.73,30.0,lentil,26.92
56.19,65.05,51.44,34.81,91.04,5.63,150.98,papaya,124.78
27.35,18.73,44.12,21.9,87.07,6.51,110.41,pomegranate,32.73
17.47,16.28,8.21,22.07,86.81,6.18,126.27,orange,49.61
39.53,70.71,83.86,18.57,15.45,7.4,77.04,chickpea,28.15
78.57,45.06,36.27,24.61,77.62,6.38,165.66,jute,44.94
21.17,16.49,35.75,17.95,89.75,6.82,111.32,pomegranate,28.7
111.2,37.77,22.28,22.56,80.18,6.68,102.58,cotton,43.52
21.89,47.01,14.01,28.06,55.09,6.41,64.32,mothbeans,22.15
22.9,38.12,24.43,28.03,85.39,6.48,57.79,mungbean,25.24
23.41,127.59,205.0,23.85,75.24,6.38,68.67,grapes,104.87
19.97,46.8,18.96,27.14,84.15,7.02,38.79,mungbean,22.83
19.32,75.76,21.05,26.15,67.21,6.06,48.04,lentil,25.36
118.7,43.81,18.06,24.39,91.64,6.64,89.91,cotton,39.57
17.83,69.85,14.37,20.77,21.74,5.68,82.11,kidneybeans,30.28
18.97,26.4,33.83,30.5,51.92,5.93,85.4,mango,74.21
96.94,14.61,54.21,27.43,94.72,7.1,28.31,muskmelon,100.41
20.81,68.64,22.01,15.8,24.26,6.44,117.46,kidneybeans,30.89
21.66,15.16,8.68,27.36,90.33,7.27,109.47,orange,65.87
23.17,67.39,18.32,32.02,44.87,5.62,132.39,pigeonpeas,28.67
86.97,38.55,18.52,21.44,65.71,5.9,92.78,maize,67.8
83.46,43.61,41.26,24.28,75.95,6.12,176.92,jute,46.59
93.92,28.76,32.39,20.12,51.43,6.26,155.38,coffee,21.18
122.3,44.61,24.54,25.6,86.2,6.93,70.88,cotton,42.53
76.19,44.5,26.43,19.71,67.07,6.24,74.93,maize,63.11
19.21,63.6,13.73,21.8,61.83,6.89,46.37,lentil,25.61
16.23,71.24,21.0,19.94,23.03,5.32,94.63,kidneybeans,28.77
15.47,19.02,39.26,21.2,86.6,6.9,109.3,pomegranate,27.66
50.89,57.99,45.44,31.74,92.86,6.63,174.14,papaya,147.65
80.18,42.08,43.41,22.15,81.83,6.17,210.1,rice,56.17
17.29,58.03,20.47,22.62,50.87,5.47,148.89,pigeonpeas,25.73
86.71,21.81,48.29,26.17,89.09,5.88,31.19,muskmelon,99.17
17.68,46.12,19.95,27.26,78.92,7.24,50.07,mungbean,23.7
16.94,62.37,21.39,23.37,17.3,5.52,97.1,kidneybeans,31.86
84.91,42.99,22.2,18.81,65.41,5.82,103.51,maize,57.29
74.64,39.21,38.57,27.04,74.98,7.08,176.1,jute,47.66
19.31,68.84,20.25,17.88,20.8,5.62,100.06,kidneybeans,32.18
36.0,77.85,85.2,17.61,14.0,6.98,55.21,chickpea,28.89
120.85,43.42,18.25,17.29,81.52,7.1,66.68,cotton,37.31
20.08,46.63,21.09,26.45,58.27,7.23,53.01,mothbeans,19.27
16.87,118.54,201.94,19.31,93.05,6.2,93.98,apple,62.61
55.94,62.71,56.53,31.83,96.85,6.6,164.51,papaya,134.98
16.67,19.24,51.17,20.92,90.36,6.44,101.63,pomegranate,30.6
124.99,44.82,17.23,19.41,84.97,6.86,80.76,cotton,38.92
22.12,28.88,29.91,27.95,55.89,6.0,113.51,mango,74.88
26.91,140.37,205.0,24.39,82.73,6.32,55.48,grapes,122.43
22.83,24.04,26.46,31.55,49.34,6.15,87.36,mango,68.02
120.59,27.95,30.36,22.94,63.6,6.65,154.22,coffee,24.34
84.92,31.64,31.44,24.76,56.79,6.6,157.9,coffee,21.51
118.55,40.24,17.01,26.89,82.62,7.52,96.45,cotton,42.67
16.39,46.06,15.92,25.82,59.47,7.22,54.84,mothbeans,22.5
19.45,14.48,30.13,29.77,91.29,5.84,195.66,coconut,79.16
20.46,10.27,27.3,25.37,95.6,6.16,166.35,coconut,70.21
22.37,11.99,30.83,27.5,91.93,6.44,160.34,coconut,75.1
16.02,139.64,199.11,22.94,98.55,5.81,112.34,apple,69.93
16.61,16.72,8.9,28.08,92.1,6.94,116.43,orange,56.2
20.99,24.54,26.11,32.08,45.38,5.42,84.11,mango,65.87
19.17,27.92,28.99,33.52,47.88,4.97,98.26,mango,62.84
13.36,18.36,10.8,21.6,91.07,6.83,106.78,orange,71.25
88.33,82.32,44.98,27.25,87.93,5.79,115.46,banana,180.07
18.17,137.93,186.14,24.27,96.77,5.59,115.62,apple,63.85
18.85,140.57,197.57,21.99,75.77,5.99,68.38,grapes,110.54
36.78,61.79,13.61,30.72,72.5,7.28,45.95,blackgram,25.48
22.66,64.96,15.9,21.64,19.77,5.6,108.86,kidneybeans,28.92
20.96,129.6,184.66,21.96,86.91,5.85,78.25,grapes,94.74
114.56,41.96,20.76,25.13,76.36,6.34,97.18,cotton,40.0
14.19,74.73,17.11,23.61,74.23,6.99,50.18,lentil,26.83
100.27,77.48,46.25,30.25,75.16,6.08,109.62,banana,198.86
15.27,45.66,22.92,28.4,55.77,7.21,45.4,mothbeans,21.44
17.59,138.11,198.6,20.21,88.81,5.62,102.28,apple,62.76
78.1,42.62,34.38,22.34,85.08,7.29,164.05,jute,48.71
19.01,70.91,19.6,23.64,60.03,7.18,37.93,lentil,25.62
96.61,32.26,32.15,26.0,59.37,7.42,162.43,coffee,23.61
19.37,15.81,8.37,18.3,100.0,6.81,92.94,orange,67.27
12.59,64.19,15.32,26.87,60.81,6.63,52.11,lentil,28.34
48.34,69.9,13.29,31.45,69.31,7.54,61.69,blackgram,27.34
97.86,85.79,44.88,27.74,76.06,5.04,121.56,banana,192.55
21.17,65.85,21.37,18.82,22.58,5.74,99.59,kidneybeans,33.39
17.83,21.53,38.69,23.03,94.41,5.99,106.29,pomegranate,28.62
81.0,42.1,33.65,26.28,85.82,6.45,170.52,jute,43.56
61.36,58.31,57.3,33.3,89.15,7.19,118.25,papaya,151.92
16.69,61.88,16.64,26.92,63.12,6.56,55.43,lentil,23.8
18.95,16.95,31.79,28.77,97.82,5.9,175.26,coconut,80.59
22.07,65.46,18.04,21.12,16.33,5.62,107.69,kidneybeans,30.82
22.37,73.0,21.87,19.28,19.85,5.83,103.45,kidneybeans,31.3
24.93,46.08,17.66,26.79,52.83,6.82,42.7,mothbeans,25.1
58.08,54.36,62.21,32.91,98.71,7.1,119.07,papaya,150.61
43.49,66.2,76.38,20.38,18.49,8.11,73.85,chickpea,27.16
103.89,55.66,46.06,28.36,83.48,6.87,50.97,watermelon,136.88
21.49,24.07,31.5,32.47,47.55,6.01,75.95,mango,71.96
14.56,26.1,33.45,33.38,48.74,5.92,92.58,mango,69.72
81.37,52.36,18.62,24.75,63.98,6.0,99.08,maize,76.74
110.22,75.06,48.01,28.66,85.41,5.35,112.36,banana,223.18
82.89,45.63,44.33,24.12,82.02,5.84,253.39,rice,51.69
19.91,47.96,18.2,23.26,50.69,6.43,56.54,mothbeans,21.34
19.76,136.95,199.28,22.34,92.98,6.34,101.42,apple,71.85
15.18,67.27,21.19,21.71,20.36,5.54,102.52,kidneybeans,31.35
12.51,68.79,21.81,21.81,58.26,7.44,51.12,lentil,27.39
39.91,62.78,69.03,18.18,14.0,6.89,84.93,chickpea,31.3
19.31,74.32,21.05,19.49,17.25,6.21,114.3,kidneybeans,28.99
114.28,46.2,18.53,21.22,69.35,6.59,103.1,cotton,39.33
22.81,75.98,20.88,26.68,51.29,5.26,144.35,pigeonpeas,26.25
38.53,75.48,77.71,12.12,20.94,7.27,68.13,chickpea,28.01
35.75,62.36,79.96,19.24,14.0,7.21,89.17,chickpea,26.59
89.49,17.69,49.06,31.11,91.85,6.26,24.89,muskmelon,110.64
18.2,130.3,205.0,24.21,82.84,6.04,78.4,grapes,100.68
14.15,76.46,22.27,26.1,55.18,6.46,45.75,lentil,29.17
22.02,145.0,184.93,22.5,92.77,5.46,108.6,apple,65.26
21.96,42.39,21.46,28.09,82.47,6.36,58.2,mungbean,22.28
25.35,69.08,19.56,27.95,52.67,5.74,122.1,pigeonpeas,27.37
36.31,67.97,83.68,18.39,16.79,7.36,73.34,chickpea,30.51
93.51,47.79,18.44,24.15,76.3,6.41,65.31,cotton,38.91
42.32,53.48,75.12,14.45,19.3,7.23,71.72,chickpea,30.02
24.57,61.93,17.5,23.5,50.98,4.95,150.47,pigeonpeas,24.35
30.59,133.44,196.37,24.32,71.17,6.33,60.2,grapes,111.78
21.97,142.59,202.51,21.42,89.62,5.81,127.37,apple,72.31
22.46,69.41,21.95,18.36,20.53,5.49,103.88,kidneybeans,29.57
38.63,63.58,23.18,32.25,66.6,6.98,69.86,blackgram,25.13
34.25,65.41,17.2,29.25,63.64,6.86,69.4,blackgram,27.43
17.04,69.38,23.19,24.65,44.26,6.03,166.58,pigeonpeas,26.32
106.02,27.72,30.09,25.03,63.57,6.3,141.55,coffee,21.94
19.58,62.88,18.88,21.94,63.71,6.38,40.52,lentil,27.45
116.38,43.19,16.67,25.19,91.32,6.56,61.29,cotton,39.36
19.32,20.44,6.78,22.22,90.17,6.78,110.38,orange,67.64
16.03,20.29,36.56,17.56,92.57,6.49,94.79,pomegranate,28.28
21.07,19.97,12.68,21.71,92.77,6.8,105.81,orange,62.82
18.06,130.35,178.39,19.32,92.72,5.76,94.66,apple,62.66
18.66,44.48,25.61,26.81,54.75,6.34,45.66,mothbeans,22.13
85.67,29.56,29.82,25.09,54.82,6.91,152.67,coffee,21.46
19.99,64.89,20.4,22.79,67.25,7.33,54.34,lentil,27.64
75.55,43.17,19.04,23.84,68.54,7.08,105.72,maize,62.06
77.12,48.64,19.86,23.52,70.46,5.91,99.36,maize,71.99
14.82,18.43,48.5,18.89,84.36,6.37,105.55,pomegranate,28.09
98.85,20.3,49.72,24.86,93.11,6.32,20.0,muskmelon,110.8
76.2,52.39,20.72,21.55,67.54,6.78,63.87,maize,65.3
19.16,52.17,21.19,29.63,79.01,6.92,39.57,mungbean,23.83
75.58,46.33,44.65,22.66,73.46,6.9,156.26,jute,49.17
75.24,50.85,21.63,23.96,61.47,5.26,100.48,maize,74.22
18.88,59.03,17.35,23.67,56.86,6.12,44.9,lentil,24.31
38.43,63.89,77.15,19.31,16.35,7.17,66.24,chickpea,29.85
20.92,41.91,20.23,27.73,86.8,6.44,43.32,mungbean,26.28
21.73,18.75,28.4,29.56,95.43,6.68,206.39,coconut,81.85
15.14,16.5,28.35,27.05,92.41,5.77,136.17,coconut,80.85
119.3,44.9,21.5,22.42,80.93,7.05,67.95,cotton,42.52
27.09,59.76,21.75,18.51,22.83,5.67,125.43,kidneybeans,32.88
43.68,70.69,77.65,15.85,21.44,7.29,80.44,chickpea,30.4
21.66,38.29,19.37,26.93,50.71,6.03,55.22,mothbeans,21.27
117.28,30.04,30.24,24.12,63.16,6.85,168.66,coffee,24.1
42.87,66.6,16.91,31.45,70.49,7.04,77.69,blackgram,24.39
123.33,53.29,17.7,22.34,85.17,6.96,73.64,cotton,38.8
85.75,42.89,16.32,24.38,73.39,5.69,82.02,maize,70.78
19.45,46.18,20.97,28.31,51.25,7.04,50.87,mothbeans,23.31
15.31,66.15,24.4,22.16,67.19,7.33,42.11,lentil,26.67
20.68,64.91,25.1,23.97,20.03,6.05,105.71,kidneybeans,32.52
100.66,83.69,53.68,26.75,77.87,5.72,96.79,banana,194.46
102.9,51.43,42.61,28.99,90.68,6.11,45.76,watermelon,132.14
22.12,137.21,197.61,19.44,81.48,6.35,63.8,grapes,98.8
10.15,70.3,20.37,22.23,61.25,7.24,42.28,lentil,25.61
42.64,67.44,22.31,30.01,64.71,7.52,77.84,blackgram,26.12
75.63,48.21,43.04,23.03,79.75,6.7,238.58,rice,56.8
15.44,20.55,40.36,22.59,88.23,6.25,114.9,pomegranate,27.83
21.91,27.48,24.17,33.76,48.59,5.09,92.51,mango,65.9
20.22,16.96,29.47,27.89,96.48,5.88,198.61,coconut,85.38
111.96,54.26,24.83,23.81,78.31,6.77,106.89,cotton,43.27
22.72,41.83,19.6,24.52,54.62,6.66,56.22,mothbeans,21.88
23.54,48.31,16.35,26.26,80.91,6.48,56.81,mungbean,24.9
13.96,63.25,20.15,25.62,69.64,7.48,35.0,lentil,25.36
17.35,133.54,198.6,22.26,77.13,5.39,68.06,grapes,95.09
25.82,76.77,15.99,27.1,42.71,5.81,138.07,pigeonpeas,27.93
91.36,84.8,47.95,23.99,72.98,5.37,91.94,banana,208.84
73.92,50.86,21.04,24.73,66.61,5.67,92.11,maize,65.2
88.77,85.62,45.06,24.29,80.78,6.58,91.37,banana,192.47
105.14,16.79,48.49,29.69,92.65,6.06,25.6,muskmelon,109.39
23.64,141.22,205.0,25.6,82.73,5.74,69.06,grapes,103.94
17.5,67.03,21.59,24.59,74.67,7.1,41.02,lentil,27.67
99.62,61.08,42.36,23.92,84.0,6.54,58.92,watermelon,135.98
101.46,84.62,48.38,25.87,76.54,5.86,105.82,banana,200.02
19.21,133.66,205.0,20.39,92.93,6.18,125.43,apple,61.76
17.4,29.2,29.39,32.52,55.26,6.13,80.62,mango,70.59
25.26,49.05,18.71,29.64,48.21,6.98,52.94,mothbeans,22.82
108.25,84.49,51.72,26.47,79.84,6.14,95.77,banana,185.52
20.67,18.37,7.83,25.77,93.13,6.7,111.33,orange,61.9
22.45,12.55,13.71,25.98,91.28,6.81,99.05,orange,67.18
15.49,129.66,188.12,19.09,92.47,5.24,110.93,apple,65.32
78.26,45.1,43.57,23.17,72.76,7.07,160.59,jute,44.17
23.82,22.36,28.9,30.87,53.37,5.2,80.01,mango,70.95
77.19,47.74,43.46,22.24,81.73,6.98,205.94,rice,52.8
23.55,132.02,183.12,21.33,81.98,6.09,62.37,grapes,104.37
46.46,63.29,86.86,17.96,14.0,6.97,62.13,chickpea,31.4
45.26,60.36,52.49,33.37,95.35,6.98,147.26,papaya,139.34
75.42,46.03,22.77,16.21,62.85,6.5,91.44,maize,63.91
110.92,14.02,51.9,31.73,90.37,6.61,25.36,muskmelon,104.26
